Location,Id,Code,Parking
R.CONCHAS,380,RCNH1,0
CENTRO SAÚDE,615,CS2273,0
BR. FONTE DA MOURA,697,BF1223,0
PEDRA VERDE,719,PD2792,1
TV.ESCOLAS,434,TE1377,0
CENTRO SAÚDE,615,CS2273,0
ARROTEIA,243,AR2517,1
MAÍNÇA,251,MA1883,0
MOINHOS,240,MO2214,0
PEDRA VERDE,719,PD2792,1
PICOUTOS (VIADUTO),966,PC2166,0
CENTRAL SEIXO,998,CS6251,0
VIA NORTE,956,VN6869,0
PICOUTOS,1008,PC2423,0
PICOUTOS (VIADUTO),966,PC2166,0
PADRÃO LÉGUA,957,PL8415,0
VIA NORTE,956,VN6869,0
FOGUETEIROS,1121,FG2606,0
RUI GAMEIRO,597,RGM,0
AVILHÓ,599,AV4393,0
